n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
108,117,653,662,267,80,68,3,0,30,16,0,0,6,15,2,0,11,23,1,9,0,2,2,14,0,2,0,0,89,78,11,8,74.07407407407408,36.870370370370374,9.305555555555543,58.333333333333336,97.94109463691711,11,3,6,2,5
59,69,355,365,146,47,42,5,0,20,6,3,0,0,6,0,0,5,11,5,10,0,3,0,3,1,0,0,0,34,26,8,6,79.66101694915254,54.25423728813559,33.35254237288136,52.54237288135594,98.49674105644226,47,15,12,10,6
287,324,1566,1603,650,171,138,10,1,88,31,9,0,6,32,4,0,30,68,2,37,0,8,2,9,7,2,0,3,220,188,30,39,59.58188153310105,44.88850174216028,30.08745644599303,54.00696864111498,99.93351697921753,67,21,30,11,13
141,162,769,790,321,101,84,3,0,44,13,8,0,5,15,3,0,15,30,1,21,0,4,1,11,0,0,0,0,109,101,6,13,71.63120567375887,40.843971631205676,11.021276595744666,54.60992907801418,99.96747374534607,6,1,2,0,1
300,339,1686,1725,695,206,174,9,4,72,38,4,0,18,37,9,0,38,58,12,39,0,7,3,31,0,1,0,1,220,191,30,25,68.66666666666667,41.8,22.083333333333293,55.333333333333336,99.80743527412415,64,8,15,6,7
237,271,1271,1305,515,145,127,10,1,65,30,10,0,7,30,3,0,18,52,12,34,0,4,5,25,1,1,0,0,157,135,22,16,61.18143459915611,48.029535864978904,41.05527426160337,50.63291139240506,99.74680542945862,36,7,15,4,6
237,271,1271,1305,515,145,127,10,1,65,30,10,0,7,30,3,0,18,52,12,34,0,4,5,25,1,1,0,0,157,135,22,16,61.18143459915611,48.029535864978904,41.05527426160337,50.63291139240506,99.74680542945862,36,7,15,4,6
197,228,1078,1109,446,104,84,11,0,45,18,16,0,2,17,4,0,31,37,10,31,0,11,1,6,5,0,0,0,122,109,13,17,52.79187817258884,51.03045685279188,40.93354868481771,48.73096446700508,98.99098873138428,141,22,49,9,11
72,82,400,410,152,55,51,1,1,16,5,0,0,2,9,2,0,5,18,12,10,0,2,0,3,1,0,0,0,47,42,5,4,76.38888888888889,37.611111111111114,-3.2222222222222285,38.88888888888889,99.79609251022339,17,5,7,4,4
86,97,461,472,179,65,58,2,1,19,7,1,0,2,11,2,0,6,21,13,11,0,2,0,3,2,0,0,0,57,52,5,6,75.5813953488372,42.372093023255815,27.709302325581376,39.53488372093023,99.81717467308044,16,4,6,4,4
86,97,461,472,179,65,58,2,1,19,7,1,0,2,11,2,0,6,21,13,11,0,2,0,3,2,0,0,0,57,52,5,6,75.5813953488372,42.372093023255815,27.709302325581376,39.53488372093023,99.81717467308044,16,4,6,4,4
63,71,281,289,120,48,44,3,0,16,9,3,2,0,8,0,0,6,13,0,10,0,3,0,5,2,0,0,0,46,41,5,10,76.19047619047619,58.682539682539684,61.19047619047619,49.2063492063492,99.340158700943,24,5,9,4,4
84,92,502,510,206,72,64,3,0,20,14,0,0,4,7,5,0,5,17,8,8,0,1,2,5,3,2,0,0,52,42,10,3,85.71428571428571,39.95238095238095,18.595238095238074,51.19047619047619,99.92287755012512,22,5,6,4,3
99,109,589,599,253,73,58,4,0,27,13,0,0,6,12,1,0,10,22,2,10,0,6,0,9,1,0,0,0,73,62,11,8,73.73737373737373,41.62626262626262,15.138888888888914,56.56565656565656,99.84008073806763,19,4,5,2,1
185,206,1035,1056,422,117,101,5,0,41,32,8,0,3,17,15,0,19,34,4,21,0,7,1,13,5,0,0,0,134,121,12,12,63.24324324324324,41.16216216216216,20.72972972972974,51.35135135135135,99.7132658958435,84,20,25,11,12
185,206,1035,1056,422,117,101,5,0,41,32,8,0,3,17,15,0,19,34,4,21,0,7,1,13,5,0,0,0,134,121,12,12,63.24324324324324,41.16216216216216,20.72972972972974,51.35135135135135,99.7132658958435,84,20,25,11,12
109,126,670,687,272,82,70,3,0,29,11,1,0,2,12,1,0,10,26,11,17,0,3,1,6,1,0,0,0,73,63,10,9,75.22935779816514,35.788990825688074,7.464831804281324,47.706422018348626,99.61643815040588,24,10,9,4,3
121,135,647,661,266,92,73,7,0,24,18,0,0,7,25,9,0,10,20,1,14,0,4,0,9,1,0,0,0,102,91,11,13,76.03305785123968,52.88429752066116,45.82172373081465,48.760330578512395,98.33520650863647,72,16,10,12,7
68,75,359,366,154,56,51,3,0,20,5,6,0,2,9,1,0,6,13,1,7,0,4,0,4,0,0,0,0,47,35,9,8,82.35294117647058,49.44117647058823,36.12745098039214,48.529411764705884,99.55503940582275,17,4,6,3,1
85,95,479,489,193,59,52,3,0,26,7,5,0,1,12,1,0,4,16,3,10,0,7,0,6,0,0,0,0,52,42,9,11,69.41176470588235,43.23529411764706,30.078431372549016,44.70588235294118,99.53476190567017,44,6,12,2,5
185,214,964,993,392,129,117,8,0,55,15,11,0,1,11,1,0,14,38,22,29,0,7,0,12,1,0,0,0,101,85,16,17,69.72972972972973,49.86486486486486,45.14527027027026,45.94594594594595,98.87290000915527,70,13,20,8,10
51,57,335,341,133,39,36,1,0,14,4,1,0,0,2,0,0,3,16,10,6,0,1,0,3,0,0,0,0,27,23,4,6,76.47058823529412,29.19607843137255,-14.509803921568647,41.17647058823529,99.77177381515503,0,0,0,0,0
51,57,335,341,133,39,36,1,0,14,4,1,0,0,2,0,0,3,16,10,6,0,1,0,3,0,0,0,0,27,23,4,6,76.47058823529412,29.19607843137255,-14.509803921568647,41.17647058823529,99.77177381515503,0,0,0,0,0
99,114,595,610,247,71,58,4,0,29,20,2,0,0,13,2,0,7,20,2,15,0,4,0,11,1,1,0,1,78,71,7,5,71.71717171717171,41.02020202020202,19.078282828282823,56.56565656565656,99.83296394348145,31,9,11,5,5
99,114,595,610,247,71,58,4,0,29,20,2,0,0,13,2,0,7,20,2,15,0,4,0,11,1,1,0,1,78,71,7,5,71.71717171717171,41.02020202020202,19.078282828282823,56.56565656565656,99.83296394348145,31,9,11,5,5
147,163,897,913,367,113,95,6,0,39,25,5,0,9,16,4,0,10,29,3,16,0,3,3,18,2,0,0,1,101,86,16,11,76.87074829931973,40.224489795918366,19.221088435374156,56.4625850340136,98.20830225944519,56,8,16,4,6
147,163,897,913,367,113,95,6,0,39,25,5,0,9,16,4,0,10,29,3,16,0,3,3,18,2,0,0,1,101,86,16,11,76.87074829931973,40.224489795918366,19.221088435374156,56.4625850340136,98.20830225944519,56,8,16,4,6
60,68,346,354,143,55,51,3,0,16,8,3,0,2,6,1,0,4,14,5,8,0,0,0,5,0,0,0,0,43,39,4,1,91.66666666666666,46.333333333333336,31.083333333333314,50.0,98.97359013557434,65,10,11,8,7
56,64,326,334,134,53,48,3,0,15,6,3,0,1,5,1,0,6,13,5,8,0,0,0,3,0,0,0,0,38,35,3,0,94.64285714285714,46.857142857142854,31.797619047619055,50.0,99.28615689277649,41,6,9,5,7
382,460,2195,2273,892,214,192,18,0,117,26,33,0,1,36,8,0,29,80,19,78,0,18,5,19,2,1,0,0,228,204,25,36,56.02094240837696,45.675392670157066,32.99767306573589,45.287958115183244,99.55840110778809,218,15,49,9,23
382,460,2195,2273,892,214,192,18,0,117,26,33,0,1,36,8,0,29,80,19,78,0,18,5,19,2,1,0,0,228,204,25,36,56.02094240837696,45.675392670157066,32.99767306573589,45.287958115183244,99.55840110778809,218,15,49,9,23
44,49,264,269,109,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,0,39,33,7,3,95.45454545454545,35.81818181818182,0.9772727272727479,56.81818181818182,99.23474192619324,8,2,2,2,2
44,49,264,269,109,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,0,39,33,7,3,95.45454545454545,35.81818181818182,0.9772727272727479,56.81818181818182,99.23474192619324,8,2,2,2,2
40,46,202,208,85,34,32,1,0,10,7,0,0,0,4,5,0,2,7,3,6,0,2,0,3,0,1,0,0,31,28,3,6,85.0,46.0,27.875,47.5,98.8011360168457,16,3,4,3,2
87,107,529,549,215,63,58,10,0,27,9,0,0,0,8,3,0,12,16,6,20,0,2,0,7,0,2,0,0,67,47,20,8,72.41379310344827,62.67816091954023,36.66781609195401,55.172413793103445,99.27420616149902,13,2,3,2,2
79,97,494,512,203,60,55,1,0,28,8,0,0,0,3,1,0,9,16,4,18,0,5,0,6,0,0,0,0,51,41,10,8,75.9493670886076,30.265822784810126,-40.02531645569621,56.9620253164557,99.91680383682251,16,7,7,3,4
68,78,405,415,166,60,51,4,0,15,13,0,0,3,9,4,0,6,13,1,10,0,3,0,10,1,0,0,0,53,43,12,8,88.23529411764706,47.088235294117645,30.323529411764696,54.41176470588235,99.84189867973328,15,7,10,4,4
68,78,405,415,166,60,51,4,0,15,13,0,0,3,9,4,0,6,13,1,10,0,3,0,10,1,0,0,0,53,43,12,8,88.23529411764706,47.088235294117645,30.323529411764696,54.41176470588235,99.84189867973328,15,7,10,4,4
441,508,2393,2460,973,244,219,16,0,126,32,26,0,8,35,5,0,35,106,41,67,0,10,6,26,0,2,1,1,277,236,39,41,55.32879818594104,45.621315192743765,35.02480158730157,45.57823129251701,98.27232360839844,284,12,51,7,14
396,455,2153,2212,879,240,214,13,0,111,30,22,0,6,35,4,0,34,96,34,59,0,10,5,23,1,1,1,1,253,216,35,38,60.60606060606061,44.47979797979798,31.25815850815851,45.707070707070706,98.41416478157043,472,19,61,13,21
319,365,1851,1897,781,201,178,16,0,98,39,10,2,12,26,1,0,28,77,17,43,0,5,0,16,9,0,0,0,224,182,42,28,63.00940438871473,46.02194357366771,26.92456896551724,55.4858934169279,99.88390803337097,87,15,14,14,11
