n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
107,116,640,649,261,79,67,3,0,30,16,0,0,6,15,1,0,11,23,1,9,0,2,2,13,0,1,0,0,88,77,11,8,73.83177570093457,37.598130841121495,11.781931464174441,58.87850467289719,96.87628149986267,48,8,12,7,10
61,71,364,374,151,49,42,5,0,20,8,3,0,0,6,0,0,5,11,5,10,0,3,0,2,2,0,0,0,36,29,7,6,80.32786885245902,53.91803278688525,32.898360655737704,54.09836065573771,98.31834435462952,57,17,12,12,6
286,322,1560,1596,648,171,137,10,1,88,31,9,0,5,32,4,0,30,68,2,36,0,8,2,9,7,2,0,3,219,187,30,39,59.79020979020979,44.94405594405595,30.127272727272718,53.84615384615385,99.93173480033875,68,21,30,10,13
138,160,746,768,312,98,82,3,0,43,12,8,0,5,15,3,0,15,29,1,22,0,4,1,10,0,0,0,0,108,100,6,13,71.01449275362319,41.46376811594203,13.043478260869563,54.347826086956516,99.17751550674438,55,3,7,2,4
253,286,1406,1439,585,181,151,9,3,62,34,3,0,15,35,3,0,30,45,12,33,0,7,4,28,0,1,0,1,186,162,24,21,71.54150197628458,44.098814229249015,27.592446201141858,55.73122529644269,99.1976797580719,389,20,54,14,33
227,259,1236,1268,497,139,120,10,1,63,29,10,0,6,29,2,0,16,49,12,32,0,4,6,24,1,1,0,0,147,125,22,14,61.23348017621145,47.76651982378855,40.98722466960352,50.22026431718062,99.76585507392883,74,8,22,5,13
227,259,1236,1268,497,139,120,10,1,63,29,10,0,6,29,2,0,16,49,12,32,0,4,6,24,1,1,0,0,147,125,22,14,61.23348017621145,47.76651982378855,40.98722466960352,50.22026431718062,99.76585507392883,74,8,22,5,13
183,212,1011,1040,416,101,82,11,0,42,18,16,0,2,14,2,0,28,34,11,29,0,11,0,5,6,0,0,0,108,95,13,15,55.19125683060109,51.78688524590164,41.604073522106304,49.18032786885246,98.92334938049316,236,30,60,14,21
72,82,390,400,147,55,51,2,1,15,6,0,0,2,9,3,0,5,17,12,10,0,2,0,4,0,1,0,0,48,42,6,4,76.38888888888889,43.166666666666664,37.29166666666666,38.88888888888889,97.78556823730469,80,16,17,14,12
80,91,439,450,170,61,56,2,1,17,7,1,0,0,10,3,0,7,18,13,11,0,2,0,4,0,1,0,0,50,45,5,6,76.25,41.625,27.875,38.75,99.46790933609009,69,11,17,10,15
