n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
112,123,689,700,281,84,71,7,0,32,18,0,0,7,18,1,0,11,21,1,11,0,1,2,13,1,1,0,0,94,82,12,8,75.0,46.232142857142854,26.919642857142833,60.71428571428571,96.60564064979553,107,15,13,14,11
61,71,364,374,151,49,42,5,0,20,8,3,0,0,6,0,0,5,11,5,10,0,3,0,2,2,0,0,0,36,29,7,6,80.32786885245902,53.91803278688525,32.898360655737704,54.09836065573771,98.31834435462952,57,17,12,12,6
284,320,1547,1583,643,170,137,10,1,86,31,9,0,5,32,4,0,31,67,2,36,0,8,2,9,7,2,0,3,217,185,30,38,59.859154929577464,45.09154929577465,30.434507042253507,53.87323943661971,99.91655945777893,96,22,32,11,15
149,173,809,833,338,108,92,6,0,45,14,8,0,8,17,5,0,16,29,1,24,0,4,1,11,0,0,0,0,120,110,8,13,72.48322147651007,46.785234899328856,33.71700223713647,55.70469798657718,98.59297275543213,125,15,10,13,5
251,286,1396,1431,580,182,152,13,3,60,35,3,0,16,34,3,0,31,45,12,35,0,6,3,29,0,1,0,1,182,160,22,20,72.50996015936255,48.9203187250996,36.49310450505668,56.573705179282875,98.74698519706726,413,26,59,18,37
229,262,1255,1288,506,145,123,15,1,62,31,10,0,7,31,3,0,17,48,12,33,0,3,4,26,1,1,0,1,148,124,24,14,63.31877729257642,53.8471615720524,47.10887918486172,51.09170305676856,99.4774878025055,171,23,32,15,19
229,262,1255,1288,506,145,123,15,1,62,31,10,0,7,31,3,0,17,48,12,33,0,3,4,26,1,1,0,1,148,124,24,14,63.31877729257642,53.8471615720524,47.10887918486172,51.09170305676856,99.4774878025055,171,23,32,15,19
181,210,1007,1036,414,104,86,12,0,40,20,16,0,3,13,2,0,28,33,11,29,0,10,0,8,6,0,0,0,107,94,13,14,57.4585635359116,53.25414364640884,42.24263351749537,50.27624309392266,98.89276027679443,271,34,62,15,21
76,87,400,411,153,59,53,3,1,16,8,0,0,2,11,3,0,5,16,12,11,0,2,0,6,0,1,0,0,53,47,6,5,77.63157894736842,48.21052631578947,49.81140350877193,40.78947368421053,97.66775369644165,92,20,18,18,12
83,95,455,467,177,64,58,4,1,18,10,1,0,1,12,2,0,6,16,13,12,0,2,0,7,0,1,0,0,55,49,6,6,77.10843373493977,48.63855421686747,46.635542168674704,42.168674698795186,98.83941411972046,113,20,25,18,19
83,95,455,467,177,64,58,4,1,18,10,1,0,1,12,2,0,6,16,13,12,0,2,0,7,0,1,0,0,55,49,6,6,77.10843373493977,48.63855421686747,46.635542168674704,42.168674698795186,98.87601137161255,113,20,25,18,19
56,61,242,247,102,41,37,5,0,15,9,3,2,0,8,0,0,6,10,0,5,0,2,0,3,2,0,0,0,41,37,4,9,73.21428571428571,72.57142857142857,76.40714285714286,53.57142857142857,97.09885716438293,86,12,23,9,14
87,95,535,543,219,74,63,5,0,21,16,0,0,3,10,4,0,4,17,8,8,0,1,2,5,4,2,0,1,56,45,11,3,85.0574712643678,44.747126436781606,24.97931034482759,50.57471264367817,98.67053627967834,114,20,19,18,13
96,105,560,569,243,73,60,4,0,24,15,0,0,6,13,1,0,9,19,2,9,0,6,0,10,2,0,0,0,74,63,11,9,76.04166666666666,43.166666666666664,17.46875,56.25,99.65631365776062,95,12,14,9,5
180,201,992,1013,410,121,104,7,0,39,34,8,0,4,16,17,0,16,31,4,21,0,7,0,16,5,0,0,0,134,120,13,13,67.22222222222223,45.55555555555556,32.23015873015871,51.66666666666667,99.46117401123047,243,31,35,20,15
180,201,992,1013,410,121,104,7,0,39,34,8,0,4,16,17,0,16,31,4,21,0,7,0,16,5,0,0,0,134,120,13,13,67.22222222222223,45.55555555555556,32.23015873015871,51.66666666666667,99.46117401123047,243,31,35,20,15
119,136,745,762,304,92,76,5,0,33,14,1,0,3,14,1,0,10,27,11,17,0,3,1,8,1,1,0,0,84,73,11,10,77.31092436974791,39.0,16.149579831932794,50.42016806722689,98.78042936325073,121,25,16,16,7
109,124,598,613,249,85,68,8,0,23,19,0,0,6,25,5,0,9,15,1,15,0,4,0,9,1,1,0,0,97,87,10,8,77.98165137614679,56.15596330275229,43.88876146788991,52.293577981651374,94.33083534240723,248,38,44,32,32
69,77,367,375,156,59,52,4,0,20,5,7,0,2,8,2,0,5,14,2,8,0,3,0,3,0,2,0,1,48,36,10,7,85.5072463768116,53.20289855072464,41.79347826086956,46.3768115942029,97.14192152023315,199,14,13,11,6
80,91,463,474,188,61,53,1,0,19,13,5,0,1,9,2,0,4,13,4,11,0,7,0,12,0,0,0,0,53,41,11,11,76.25,34.875,-26.75,46.25,98.34697246551514,108,19,30,10,9
182,211,952,981,388,129,120,8,0,51,20,11,0,1,10,1,0,14,35,22,29,0,7,0,17,1,0,0,0,101,88,13,17,70.87912087912088,49.879120879120876,44.678571428571445,47.25274725274725,98.44159483909607,112,19,26,14,14
56,63,356,363,142,43,39,2,0,15,7,1,0,0,3,0,0,3,16,10,7,0,1,0,4,1,0,0,0,31,27,4,5,76.78571428571429,36.142857142857146,13.178571428571445,44.642857142857146,97.9609489440918,53,13,7,10,5
56,63,356,363,142,43,39,2,0,15,7,1,0,0,3,0,0,3,16,10,7,0,1,0,4,1,0,0,0,31,27,4,5,76.78571428571429,36.142857142857146,13.178571428571445,44.642857142857146,97.9609489440918,53,13,7,10,5
99,114,592,607,246,72,57,6,0,31,19,2,0,0,14,1,0,7,19,2,15,0,3,0,11,0,1,0,1,78,70,8,3,72.72727272727273,47.38383838383838,27.98484848484847,57.57575757575758,99.31349754333496,62,17,18,11,10
99,114,592,607,246,72,57,6,0,31,19,2,0,0,14,1,0,7,19,2,15,0,3,0,11,0,1,0,1,78,70,8,3,72.72727272727273,47.38383838383838,27.98484848484847,57.57575757575758,99.31349754333496,62,17,18,11,10
133,149,802,818,325,105,84,8,0,33,28,5,0,7,21,3,0,8,19,3,16,0,1,4,17,2,1,0,0,105,95,11,9,78.94736842105263,46.744360902255636,30.540413533834595,57.14285714285714,96.96027040481567,390,40,55,35,34
133,149,802,818,325,105,84,8,0,33,28,5,0,7,21,3,0,8,19,3,16,0,1,4,17,2,1,0,0,105,95,11,9,78.94736842105263,46.744360902255636,30.540413533834595,57.14285714285714,96.96027040481567,390,40,55,35,34
68,76,385,393,162,64,56,5,0,17,12,3,0,1,8,1,0,5,13,5,10,0,0,0,8,0,0,0,0,48,44,4,3,94.11764705882352,54.44117647058823,37.54705882352942,51.470588235294116,96.12917900085449,160,31,22,23,14
62,70,369,377,154,58,51,5,0,15,12,3,0,1,7,2,0,4,12,5,8,0,0,0,7,0,1,0,0,45,41,4,1,93.54838709677419,53.67741935483871,32.14838709677421,51.61290322580645,95.99860310554504,166,24,22,19,15
390,467,2270,2347,922,222,196,25,0,121,32,33,0,2,40,6,0,32,77,16,77,0,16,5,22,2,2,0,1,242,215,28,33,56.92307692307692,50.02564102564103,36.73333333333331,47.94871794871795,98.83794784545898,411,40,72,34,30
390,467,2270,2347,922,222,196,25,0,121,32,33,0,2,40,6,0,32,77,16,77,0,16,5,22,2,2,0,1,242,215,28,33,56.92307692307692,50.02564102564103,36.73333333333331,47.94871794871795,98.83794784545898,411,40,72,34,30
46,51,265,270,110,43,37,2,0,12,11,0,0,1,9,2,0,2,8,0,5,0,0,1,6,0,1,0,0,44,40,5,4,93.47826086956522,44.43478260869565,27.565217391304344,56.52173913043478,97.3908543586731,103,19,17,19,14
46,51,265,270,110,43,37,2,0,12,11,0,0,1,9,2,0,2,8,0,5,0,0,1,6,0,1,0,0,44,40,5,4,93.47826086956522,44.43478260869565,27.565217391304344,56.52173913043478,97.3908543586731,103,19,17,19,14
40,47,200,207,82,35,32,2,0,10,9,0,0,0,3,3,0,2,6,3,7,0,2,2,2,1,2,0,0,30,27,3,5,87.5,54.0,52.75,52.5,97.11463451385498,54,9,9,9,6
102,122,588,608,245,64,59,10,0,29,14,0,0,0,14,2,0,13,18,6,20,0,2,0,12,0,2,0,0,80,58,22,7,62.745098039215684,60.76470588235294,39.67254901960784,54.90196078431373,97.99087643623352,129,15,12,15,11
82,102,504,524,207,63,58,2,0,29,9,0,0,0,4,1,0,8,16,4,20,0,5,0,5,1,0,0,0,53,45,8,8,76.82926829268293,34.853658536585364,0.9146341463414558,56.09756097560976,98.29070568084717,75,14,11,8,7
68,79,412,423,167,59,49,6,0,16,12,0,0,3,9,6,0,6,12,1,11,0,2,0,7,2,0,0,0,51,42,10,5,86.76470588235294,54.88235294117647,35.03431372549017,54.41176470588235,98.86080026626587,79,16,20,12,12
68,79,412,423,167,59,49,6,0,16,12,0,0,3,9,6,0,6,12,1,11,0,2,0,7,2,0,0,0,51,42,10,5,86.76470588235294,54.88235294117647,35.03431372549017,54.41176470588235,98.86080026626587,79,16,20,12,12
440,506,2388,2454,971,247,220,18,0,122,42,26,0,7,36,4,0,33,102,41,66,0,10,6,34,1,1,1,1,278,238,38,40,56.13636363636364,47.0,38.112373737373716,46.36363636363636,97.4254846572876,396,28,64,18,22
396,455,2169,2228,884,243,215,16,0,108,38,22,0,7,34,4,0,32,94,34,59,0,9,5,28,2,1,1,1,254,216,36,36,61.36363636363637,46.34848484848485,36.148989898989896,46.717171717171716,97.40837812423706,563,33,71,24,27
319,365,1819,1865,769,202,172,20,0,92,52,10,2,13,24,3,0,23,72,17,43,0,5,2,20,12,0,0,0,228,194,34,27,63.322884012539184,50.78683385579937,33.357210031347975,56.42633228840125,98.80552887916565,286,29,25,26,19
108,123,598,613,252,73,65,5,0,29,14,3,0,2,19,0,0,9,17,9,15,0,5,1,11,0,0,0,0,80,70,10,8,67.5925925925926,47.51851851851852,32.73333333333331,50.0,94.2294180393219,403,15,43,13,30
331,372,1782,1823,711,178,158,15,1,97,26,20,0,1,35,7,0,29,79,13,41,0,16,0,20,2,1,0,0,217,180,37,37,53.776435045317214,48.7583081570997,44.31097683786504,46.22356495468278,98.50009679794312,239,31,60,16,28
374,429,2016,2071,794,199,176,21,0,100,32,41,0,6,30,3,0,34,81,21,55,0,11,4,24,2,0,0,0,192,167,23,29,53.20855614973262,51.94117647058823,50.19582378405907,45.98930481283423,98.07687997817993,541,30,98,12,42
404,446,2293,2335,931,189,163,26,0,100,52,28,1,5,39,5,0,37,81,28,42,0,6,8,25,6,0,0,1,225,190,32,23,46.78217821782179,51.54950495049505,40.67193450114241,48.01980198019802,97.10288047790527,447,70,80,43,41
