n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
108,117,653,662,267,80,68,3,0,30,16,0,0,6,15,2,0,11,23,1,9,0,2,2,14,0,2,0,0,89,78,11,8,74.07407407407408,36.870370370370374,9.305555555555543,58.333333333333336,97.93569445610046,10,2,5,1,4
58,68,352,362,145,47,42,4,0,19,6,3,0,0,5,1,0,5,11,5,10,0,3,0,3,1,0,0,0,32,24,8,6,81.03448275862068,49.0,29.0,51.724137931034484,99.33274984359741,20,12,9,7,4
289,326,1587,1624,658,174,140,10,1,91,30,9,0,6,30,4,0,30,70,2,37,0,8,2,9,6,2,0,7,218,185,31,40,60.207612456747405,44.46712802768166,29.106920415224927,54.325259515570934,99.94933605194092,30,21,25,9,9
141,162,769,790,321,101,84,3,0,44,13,8,0,5,15,3,0,15,30,1,21,0,4,1,11,0,0,0,0,109,101,6,13,71.63120567375887,40.843971631205676,11.021276595744666,54.60992907801418,99.96747374534607,6,1,2,0,1
300,339,1679,1718,692,206,175,9,4,72,37,4,0,18,35,9,0,39,60,12,39,0,7,3,30,0,1,0,2,219,189,30,27,68.66666666666667,42.03333333333333,22.733333333333327,55.333333333333336,99.81878995895386,35,4,11,2,4
241,275,1279,1313,522,148,130,10,1,66,30,10,0,8,30,2,0,18,54,12,34,0,4,6,25,1,1,0,3,159,137,23,17,61.41078838174274,48.37759336099585,41.11161825726142,50.62240663900415,99.7662603855133,12,5,10,3,3
241,275,1279,1313,522,148,130,10,1,66,30,10,0,8,30,2,0,18,54,12,34,0,4,6,25,1,1,0,3,159,137,23,17,61.41078838174274,48.37759336099585,41.11161825726142,50.62240663900415,99.7662603855133,12,5,10,3,3
215,252,1148,1185,482,113,90,12,0,56,18,24,0,2,14,4,0,32,39,9,37,0,11,1,6,5,0,0,3,125,111,15,17,52.55813953488372,52.348837209302324,42.362403100775154,50.23255813953489,99.97358918190002,18,8,19,0,0
73,83,409,419,155,57,52,1,1,17,5,0,0,2,8,2,0,5,19,12,10,0,2,0,3,1,0,0,1,46,41,5,4,78.08219178082192,37.082191780821915,-5.013698630136986,39.726027397260275,99.9135971069336,4,4,4,3,3
87,98,468,479,181,67,59,2,1,20,7,1,0,2,10,2,0,6,22,13,11,0,2,0,3,2,0,0,1,56,51,5,6,77.01149425287356,42.10344827586207,27.27011494252872,40.229885057471265,99.96266961097717,5,4,4,3,3
87,98,468,479,181,67,59,2,1,20,7,1,0,2,10,2,0,6,22,13,11,0,2,0,3,2,0,0,1,56,51,5,6,77.01149425287356,42.10344827586207,27.27011494252872,40.229885057471265,99.96266961097717,5,4,4,3,3
64,72,286,294,123,50,46,3,0,17,8,3,2,0,6,0,0,6,16,0,10,0,3,0,4,2,0,0,1,45,40,5,10,78.125,58.375,59.74479166666667,48.4375,99.35381412506104,11,3,5,2,2
84,92,511,519,210,72,64,3,0,20,14,0,0,4,7,5,0,5,17,8,8,0,1,2,5,3,2,0,3,51,39,12,3,85.71428571428571,38.88095238095238,15.5,51.19047619047619,99.9970018863678,3,2,3,1,1
100,110,601,611,258,72,59,4,0,28,13,0,0,6,11,1,0,10,23,2,10,0,6,0,9,1,0,0,1,71,60,12,8,72.0,40.9,13.299999999999983,56.99999999999999,99.9545156955719,2,0,2,0,0
188,209,1026,1047,416,119,101,5,0,43,30,9,0,3,17,15,0,19,36,4,21,0,7,1,11,5,0,0,3,134,121,12,13,63.297872340425535,42.40425531914894,24.570212765957443,50.53191489361703,99.93692636489868,29,12,15,5,6
188,209,1026,1047,416,119,101,5,0,43,30,9,0,3,17,15,0,19,36,4,21,0,7,1,11,5,0,0,3,134,121,12,13,63.297872340425535,42.40425531914894,24.570212765957443,50.53191489361703,99.93692636489868,29,12,15,5,6
109,126,677,694,274,82,70,3,0,29,11,1,0,2,12,1,0,10,26,11,17,0,3,1,6,1,0,0,0,72,62,10,9,75.22935779816514,35.14678899082569,6.272171253822599,47.706422018348626,99.69983696937561,14,8,7,2,2
121,135,648,662,265,92,73,7,0,24,18,0,0,7,25,9,0,10,20,1,14,0,4,0,9,1,0,0,0,101,90,11,13,76.03305785123968,52.80165289256198,46.358913813459246,48.760330578512395,98.26827645301819,61,15,9,11,7
