n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
116,127,703,714,287,83,70,7,0,35,17,0,0,7,20,2,0,11,20,0,11,0,1,3,12,1,1,0,0,99,86,13,8,71.55172413793103,46.5,28.60960591133006,60.3448275862069,96.5139091014862,138,16,15,15,12
63,74,367,378,152,48,45,4,0,21,7,3,0,0,7,0,0,5,11,5,11,0,3,1,5,0,0,0,0,38,31,7,6,76.19047619047619,49.79365079365079,33.42460317460316,52.38095238095239,98.48836660385132,62,19,14,14,8
284,320,1561,1597,643,168,137,10,1,86,32,9,0,5,32,4,0,30,67,2,36,0,8,2,9,8,2,0,3,218,186,30,38,59.154929577464785,44.598591549295776,30.434507042253507,53.87323943661971,99.9024748802185,115,21,33,10,16
146,170,787,811,329,103,88,6,0,44,13,8,0,6,18,6,0,16,28,1,24,0,4,1,11,0,0,0,0,116,106,8,13,70.54794520547945,47.42465753424658,35.19406392694064,54.109589041095894,98.31103682518005,158,18,18,15,13
256,291,1436,1471,597,184,154,13,3,62,36,3,0,17,36,3,0,29,45,13,35,0,6,3,30,0,1,0,1,186,163,23,20,71.875,48.140625,34.72566105769231,56.25,98.80080819129944,452,29,61,21,39
234,266,1279,1311,515,144,122,15,1,65,28,10,0,7,31,3,0,17,51,13,32,0,3,5,25,0,1,0,1,150,126,24,15,61.53846153846154,53.572649572649574,47.34444444444443,50.0,99.3922770023346,228,24,32,16,21
234,266,1279,1311,515,144,122,15,1,65,28,10,0,7,31,3,0,17,51,13,32,0,3,5,25,0,1,0,1,150,126,24,15,61.53846153846154,53.572649572649574,47.34444444444443,50.0,99.3922770023346,228,24,32,16,21
183,212,1022,1051,419,106,88,12,0,40,20,16,0,3,14,4,0,28,32,11,29,0,10,0,10,5,0,0,0,112,98,14,14,57.92349726775956,52.82513661202186,41.92486338797812,49.72677595628415,98.96948337554932,343,37,61,21,23
76,87,399,410,153,59,53,3,1,16,8,0,0,2,11,3,0,5,16,12,11,0,2,0,6,0,1,0,0,53,47,6,5,77.63157894736842,48.3421052631579,49.81140350877193,40.78947368421053,97.33327627182007,105,20,18,18,12
81,93,450,462,175,63,59,4,1,17,10,1,0,1,11,2,0,6,16,13,12,0,2,0,7,0,1,0,0,53,46,7,6,77.77777777777779,48.25925925925926,45.3179012345679,41.9753086419753,98.68937134742737,118,19,25,17,19
