n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
113,124,690,701,281,83,70,7,0,33,17,0,0,7,18,1,0,11,22,1,11,0,1,2,12,1,1,0,0,94,82,12,8,73.45132743362832,46.52212389380531,28.219974715549935,60.17699115044248,96.62579894065857,103,14,13,13,11
61,71,364,374,151,49,42,5,0,20,8,3,0,0,6,0,0,5,11,5,10,0,3,0,2,2,0,0,0,36,29,7,6,80.32786885245902,53.91803278688525,32.898360655737704,54.09836065573771,98.31834435462952,57,17,12,12,6
286,322,1560,1596,648,171,137,10,1,88,31,9,0,5,32,4,0,30,68,2,36,0,8,2,9,7,2,0,3,219,187,30,39,59.79020979020979,44.94405594405595,30.127272727272718,53.84615384615385,99.93173480033875,68,21,30,10,13
149,173,809,833,338,108,92,6,0,45,14,8,0,8,17,5,0,16,29,1,24,0,4,1,11,0,0,0,0,120,110,8,13,72.48322147651007,46.785234899328856,33.71700223713647,55.70469798657718,98.59297275543213,125,15,10,13,5
252,287,1400,1435,582,182,152,13,3,62,33,3,0,16,35,3,0,31,45,12,35,0,6,3,27,0,1,0,1,183,160,23,20,72.22222222222221,48.92063492063492,36.49633699633699,56.34920634920635,98.83663654327393,400,24,57,17,36
233,266,1268,1301,512,145,123,15,1,67,27,10,0,7,30,3,0,17,52,12,33,0,3,4,22,1,1,0,1,149,124,25,13,62.231759656652365,53.892703862660944,47.63404864091561,50.64377682403433,99.63263869285583,135,20,27,14,17
233,266,1268,1301,512,145,123,15,1,67,27,10,0,7,30,3,0,17,52,12,33,0,3,4,22,1,1,0,1,149,124,25,13,62.231759656652365,53.892703862660944,47.63404864091561,50.64377682403433,99.63263869285583,135,20,27,14,17
183,212,1015,1044,417,103,84,12,0,42,18,16,0,3,14,2,0,28,34,11,29,0,10,0,5,6,0,0,0,107,94,13,14,56.284153005464475,53.20765027322405,42.63524590163934,49.72677595628415,98.92200827598572,246,31,60,14,21
77,88,407,418,156,59,53,3,1,17,7,0,0,2,11,3,0,5,17,12,11,0,2,0,5,0,1,0,0,53,46,7,5,76.62337662337663,47.83116883116883,48.64502164502166,40.25974025974026,97.6701021194458,89,20,17,18,12
86,98,469,481,183,65,59,4,1,20,8,1,0,0,13,2,0,7,18,13,12,0,2,0,5,0,1,0,0,56,50,6,7,75.5813953488372,48.41860465116279,46.18604651162792,40.69767441860465,98.94295930862427,90,17,20,15,16
86,98,469,481,183,65,59,4,1,20,8,1,0,0,13,2,0,7,18,13,12,0,2,0,5,0,1,0,0,56,50,6,7,75.5813953488372,48.41860465116279,46.18604651162792,40.69767441860465,98.96219372749329,90,17,20,15,16
58,63,254,259,107,44,39,5,0,16,8,3,2,0,8,0,0,7,11,0,5,0,2,0,2,2,0,0,0,42,37,5,9,75.86206896551724,71.06896551724138,74.48620689655174,53.44827586206896,97.87783026695251,69,10,19,7,11
87,95,535,543,219,74,63,5,0,21,16,0,0,3,10,4,0,4,17,8,8,0,1,2,5,4,2,0,1,56,45,11,3,85.0574712643678,44.747126436781606,24.97931034482759,50.57471264367817,98.67053627967834,114,20,19,18,13
97,106,575,584,248,71,59,4,0,26,13,0,0,6,12,1,0,9,21,2,9,0,6,0,8,2,0,0,0,71,60,11,8,73.19587628865979,42.09278350515464,15.564432989690744,55.670103092783506,99.69692826271057,77,8,11,5,5
180,201,992,1013,410,121,104,7,0,39,34,8,0,4,16,17,0,16,31,4,21,0,7,0,16,5,0,0,0,134,120,13,13,67.22222222222223,45.55555555555556,32.23015873015871,51.66666666666667,99.46117401123047,243,31,35,20,15
180,201,992,1013,410,121,104,7,0,39,34,8,0,4,16,17,0,16,31,4,21,0,7,0,16,5,0,0,0,134,120,13,13,67.22222222222223,45.55555555555556,32.23015873015871,51.66666666666667,99.46117401123047,243,31,35,20,15
120,137,753,770,306,92,76,5,0,34,13,1,0,3,14,1,0,10,28,11,17,0,3,1,7,1,1,0,0,83,72,11,10,76.66666666666667,38.75,16.25,50.0,98.7740159034729,112,24,15,14,6
105,120,595,610,246,84,66,8,0,23,17,0,0,6,22,5,0,9,16,1,15,0,4,0,7,1,1,0,0,89,79,10,7,80.0,55.19047619047619,40.58928571428572,52.38095238095239,94.08254623413086,232,32,41,24,30
69,77,370,378,157,57,51,4,0,21,4,7,0,2,8,2,0,5,14,2,8,0,3,0,3,0,1,0,1,47,34,10,7,82.6086956521739,52.768115942028984,40.85144927536231,46.3768115942029,97.7039098739624,190,12,13,9,6
85,96,487,498,195,60,53,1,0,26,7,5,0,1,11,2,0,4,16,3,11,0,7,0,6,0,0,0,0,52,42,9,11,70.58823529411765,35.23529411764706,-28.117647058823536,44.70588235294118,99.23243522644043,60,12,23,5,7
185,214,967,996,393,129,117,8,0,55,15,11,0,1,11,1,0,14,38,22,29,0,7,0,12,1,0,0,0,101,85,16,17,69.72972972972973,49.7027027027027,44.793918918918905,45.94594594594595,98.87307286262512,77,17,24,12,14
56,63,356,363,142,43,39,2,0,15,7,1,0,0,3,0,0,3,16,10,7,0,1,0,4,1,0,0,0,31,27,4,5,76.78571428571429,36.142857142857146,13.178571428571445,44.642857142857146,97.9609489440918,53,13,7,10,5
56,63,356,363,142,43,39,2,0,15,7,1,0,0,3,0,0,3,16,10,7,0,1,0,4,1,0,0,0,31,27,4,5,76.78571428571429,36.142857142857146,13.178571428571445,44.642857142857146,97.9609489440918,53,13,7,10,5
101,116,600,615,249,74,57,6,0,31,19,2,0,0,14,2,0,7,20,2,15,0,3,0,11,0,1,0,1,80,72,8,4,73.26732673267327,47.415841584158414,28.919141914191425,56.43564356435643,99.39537048339844,62,18,17,12,9
101,116,600,615,249,74,57,6,0,31,19,2,0,0,14,2,0,7,20,2,15,0,3,0,11,0,1,0,1,80,72,8,4,73.26732673267327,47.415841584158414,28.919141914191425,56.43564356435643,99.39537048339844,62,18,17,12,9
133,149,803,819,324,106,84,8,0,34,27,5,0,7,21,3,0,8,19,3,16,0,1,4,16,2,1,0,0,104,93,12,8,79.69924812030075,46.669172932330824,31.029135338345867,57.14285714285714,97.27110266685486,385,40,54,35,34
133,149,803,819,324,106,84,8,0,34,27,5,0,7,21,3,0,8,19,3,16,0,1,4,16,2,1,0,0,104,93,12,8,79.69924812030075,46.669172932330824,31.029135338345867,57.14285714285714,97.27110266685486,385,40,54,35,34
66,74,379,387,158,63,54,5,0,18,10,3,0,1,7,1,0,5,13,5,10,0,0,0,6,0,0,0,0,44,40,4,1,95.45454545454545,54.303030303030305,37.193939393939374,51.515151515151516,96.90056443214417,140,26,18,19,14
61,69,362,370,150,56,49,5,0,16,10,3,0,1,7,2,0,4,12,5,8,0,0,0,5,0,1,0,0,43,39,4,0,91.80327868852459,54.24590163934426,33.9639344262295,50.81967213114754,97.65838384628296,147,20,20,16,15
392,469,2281,2358,926,224,198,25,0,122,31,33,0,2,40,6,0,33,78,16,77,0,16,5,21,2,2,0,1,242,216,27,33,57.14285714285714,49.94387755102041,36.77408163265307,47.95918367346938,98.74590039253235,395,39,69,33,28
392,469,2281,2358,926,224,198,25,0,122,31,33,0,2,40,6,0,33,78,16,77,0,16,5,21,2,2,0,1,242,216,27,33,57.14285714285714,49.94387755102041,36.77408163265307,47.95918367346938,98.74590039253235,395,39,69,33,28
46,51,264,269,109,43,37,2,0,12,11,0,0,1,9,2,0,2,8,0,5,0,0,1,6,0,1,0,0,44,40,5,4,93.47826086956522,44.65217391304348,28.97826086956522,56.52173913043478,97.2518265247345,104,19,17,19,14
46,51,264,269,109,43,37,2,0,12,11,0,0,1,9,2,0,2,8,0,5,0,0,1,6,0,1,0,0,44,40,5,4,93.47826086956522,44.65217391304348,28.97826086956522,56.52173913043478,97.2518265247345,104,19,17,19,14
40,47,199,206,82,35,32,2,0,10,9,0,0,0,3,3,0,2,6,3,7,0,2,2,2,1,2,0,0,31,28,3,5,87.5,54.25,52.75,52.5,96.8459963798523,58,10,10,10,7
86,106,513,533,212,62,57,12,0,27,9,0,0,0,8,2,0,12,16,6,20,0,2,0,7,0,2,0,0,66,45,21,8,72.09302325581395,71.20930232558139,38.60077519379845,55.81395348837209,98.08528423309326,58,9,11,9,10
82,102,504,524,207,63,58,2,0,29,9,0,0,0,4,1,0,8,16,4,20,0,5,0,5,1,0,0,0,53,45,8,8,76.82926829268293,34.853658536585364,0.9146341463414558,56.09756097560976,98.29070568084717,75,14,11,8,7
68,79,421,432,171,59,49,6,0,16,12,0,0,3,9,6,0,6,12,1,11,0,2,0,7,2,0,0,0,52,43,10,5,86.76470588235294,53.55882352941177,31.210784313725505,54.41176470588235,99.0480124950409,66,15,19,11,11
68,79,421,432,171,59,49,6,0,16,12,0,0,3,9,6,0,6,12,1,11,0,2,0,7,2,0,0,0,52,43,10,5,86.76470588235294,53.55882352941177,31.210784313725505,54.41176470588235,99.0480124950409,66,15,19,11,11
447,514,2421,2488,985,249,221,18,0,129,35,26,0,7,38,4,0,35,105,41,67,0,10,6,27,1,1,1,1,282,242,38,41,55.70469798657718,46.919463087248324,37.934004474272925,46.085011185682326,97.76387214660645,338,21,55,15,18
402,462,2185,2245,892,244,216,16,0,113,33,22,0,7,38,4,0,33,95,34,60,0,9,5,23,2,1,1,1,259,222,35,37,60.69651741293532,46.58706467661692,36.646144278606954,46.26865671641791,98.00572395324707,525,27,64,21,24
320,366,1831,1877,773,201,172,20,0,94,50,10,2,14,23,3,0,23,74,17,43,0,5,1,18,12,0,0,0,227,192,35,27,62.81250000000001,50.53125,32.984375,56.56250000000001,98.83482456207275,275,27,24,24,18
113,128,624,639,259,74,65,5,0,34,9,3,0,2,17,0,0,9,24,9,15,0,5,1,6,0,0,0,0,78,67,11,9,65.48672566371681,47.05309734513274,34.41769911504425,47.78761061946903,94.60285305976868,366,10,37,8,26
332,373,1811,1852,719,177,157,15,1,101,22,20,0,1,33,7,0,29,82,13,41,0,16,0,16,2,1,0,0,209,172,37,35,53.31325301204819,48.006024096385545,43.09859437751003,46.08433734939759,98.91730546951294,190,24,55,9,27
376,431,2033,2088,800,201,178,21,0,102,30,41,0,6,30,3,0,35,82,21,55,0,11,4,22,2,0,0,0,191,167,22,28,53.45744680851063,51.68617021276596,49.79736575481254,46.01063829787234,98.05209040641785,522,30,93,13,39
405,447,2305,2347,934,190,165,26,0,102,50,28,1,5,39,5,0,37,82,28,42,0,6,8,23,6,0,0,1,224,189,32,22,46.913580246913575,51.34567901234568,40.52184235517568,47.901234567901234,96.99194431304932,430,69,76,42,39
405,447,2305,2347,934,190,165,26,0,102,50,28,1,5,39,5,0,37,82,28,42,0,6,8,23,6,0,0,1,224,189,32,22,46.913580246913575,51.34567901234568,40.52184235517568,47.901234567901234,96.99194431304932,430,69,76,42,39
328,377,1812,1861,761,194,162,16,1,106,43,12,0,7,36,1,0,25,77,8,49,0,5,3,18,9,0,0,1,233,197,36,28,59.14634146341463,48.390243902439025,34.692073170731675,55.1829268292683,98.60880970954895,272,46,42,34,20
229,270,1162,1203,475,120,106,15,0,72,22,17,0,7,14,4,0,13,42,22,39,0,8,2,10,5,1,0,4,135,113,22,27,52.40174672489083,57.90829694323144,55.908005822416285,49.78165938864629,97.24583625793457,347,39,45,24,20
75,93,395,419,161,58,54,6,0,24,15,2,0,4,6,5,0,2,14,0,18,0,3,0,7,2,1,0,1,60,43,17,6,77.33333333333333,60.33333333333333,53.96666666666667,60.0,98.36177229881287,83,17,15,14,11
80,91,431,448,184,60,52,6,0,18,15,0,0,1,9,4,0,5,17,7,11,0,2,1,7,1,3,0,0,55,52,3,9,75.0,57.625,43.166666666666664,48.75,97.01669216156006,86,10,13,8,6
80,91,431,448,184,60,52,6,0,18,15,0,0,1,9,4,0,5,17,7,11,0,2,1,7,1,3,0,0,55,52,3,9,75.0,57.625,43.166666666666664,48.75,97.01669216156006,86,10,13,8,6
391,455,2223,2287,913,219,196,17,0,121,26,29,0,0,35,4,0,30,86,27,64,0,20,4,18,3,0,0,3,235,206,30,39,56.01023017902813,45.18925831202046,31.222506393861863,45.26854219948849,99.40347671508789,188,24,43,16,15
274,296,1497,1519,608,187,153,14,0,66,37,7,0,5,33,5,0,32,62,17,22,0,4,0,20,5,1,0,0,192,175,20,26,68.24817518248175,49.693430656934304,42.19499478623568,51.09489051094891,98.747318983078,158,33,36,21,10
448,504,2528,2584,1057,214,186,17,0,148,34,17,0,4,34,6,0,39,119,17,56,0,12,2,23,2,1,0,0,291,255,35,58,47.767857142857146,43.955357142857146,26.287683823529413,50.22321428571429,98.99945259094238,147,23,15,9,4
105,130,658,683,265,80,72,5,0,37,6,2,0,3,14,1,0,15,19,4,25,0,4,0,4,1,0,0,1,77,65,12,9,76.19047619047619,40.61904761904762,20.952380952380963,58.0952380952381,99.25410151481628,78,13,8,13,7
251,301,1456,1506,609,149,131,9,5,86,16,6,0,4,16,4,0,32,61,5,50,0,6,0,11,1,0,0,1,172,139,36,26,59.36254980079681,41.74900398406375,20.401947764497546,54.980079681274894,99.70300793647766,141,25,36,9,9
352,407,2064,2121,843,199,164,17,3,99,33,3,0,4,32,5,0,35,84,31,55,0,12,3,20,3,1,0,2,228,195,34,31,56.53409090909091,44.85227272727273,29.626504010695168,48.57954545454545,99.26889538764954,356,48,41,32,25
81,92,514,525,205,69,61,4,1,16,13,4,0,2,14,1,0,9,15,6,11,0,0,0,2,4,0,0,1,57,48,9,2,85.18518518518519,40.358024691358025,21.243827160493794,49.382716049382715,99.24952387809753,88,17,20,14,14
252,284,1382,1414,585,147,126,14,0,77,28,2,0,5,24,3,0,25,63,10,32,0,9,1,19,0,1,0,0,186,164,23,17,58.333333333333336,50.82539682539682,37.10714285714283,53.57142857142857,99.76236820220947,88,14,6,6,2
261,306,1509,1554,616,153,131,14,2,71,30,6,1,6,21,2,0,16,59,29,45,0,10,0,12,5,0,0,0,150,129,20,24,58.620689655172406,47.275862068965516,33.9471811713191,47.12643678160919,99.67796206474304,94,19,10,13,5
305,346,1675,1716,694,190,167,15,1,81,36,12,0,6,31,1,0,23,68,30,41,0,9,1,10,12,0,0,0,187,156,29,31,62.295081967213115,48.83606557377049,37.76502732240438,47.868852459016395,99.61977005004883,163,29,26,17,13
305,346,1675,1716,694,190,167,15,1,81,36,12,0,6,31,1,0,23,68,30,41,0,9,1,10,12,0,0,0,187,156,29,31,62.295081967213115,48.83606557377049,37.76502732240438,47.868852459016395,99.61977005004883,163,29,26,17,13
122,146,678,702,266,91,79,7,0,35,16,6,1,0,16,0,0,10,20,9,24,0,5,0,10,2,0,0,0,75,68,8,7,74.59016393442623,50.63934426229508,46.85011709601871,50.0,97.83310890197754,101,19,23,12,10
122,146,678,702,266,91,79,7,0,35,16,6,1,0,16,0,0,10,20,9,24,0,5,0,10,2,0,0,0,75,68,8,7,74.59016393442623,50.63934426229508,46.85011709601871,50.0,97.83310890197754,101,19,23,12,10
263,331,1420,1488,573,183,154,11,0,57,31,13,0,2,21,5,0,29,43,51,65,0,8,0,15,2,0,0,0,148,134,14,20,69.58174904942965,47.555133079847906,40.47493950916004,45.247148288973385,98.99513721466064,197,10,23,7,11
241,277,1445,1481,594,168,138,12,0,69,30,1,0,6,23,1,0,36,46,17,36,0,8,0,20,2,0,0,0,180,159,22,22,69.70954356846472,43.97925311203319,25.70919778699861,58.50622406639005,99.64685440063477,365,30,56,25,30
126,141,783,798,318,97,79,9,0,32,16,1,0,2,17,1,0,12,25,10,16,0,3,1,11,1,0,0,0,83,70,12,6,76.98412698412699,48.285714285714285,27.952380952380963,49.2063492063492,99.58456754684448,138,18,16,13,11
411,462,2566,2617,1048,248,197,25,0,104,69,3,2,14,32,10,0,32,84,42,51,0,11,1,27,13,1,0,4,275,221,47,34,60.34063260340633,44.81508515815085,23.81790754257906,53.284671532846716,99.74694848060608,256,36,58,22,14
299,337,1808,1846,744,202,171,23,0,80,38,4,1,9,27,5,0,29,64,28,38,0,2,3,19,3,3,0,0,182,157,23,20,67.55852842809364,51.608695652173914,31.260869565217376,52.17391304347826,99.07435774803162,331,52,65,26,28
380,432,2279,2331,955,242,199,23,0,118,51,10,0,8,31,5,0,34,89,9,55,0,6,2,30,6,1,0,0,261,219,42,37,63.68421052631579,47.18421052631579,26.12299771167048,55.52631578947368,99.53728914260864,378,38,57,24,35
210,240,1186,1216,498,152,129,15,0,58,16,3,0,4,27,4,1,24,40,22,30,0,6,0,11,1,1,0,1,138,118,20,16,72.38095238095238,53.95238095238095,37.85714285714283,48.57142857142857,99.68666434288025,207,26,32,15,17
391,434,2262,2305,935,223,181,16,0,119,52,4,0,10,45,4,0,28,84,24,40,0,13,5,37,2,0,0,2,276,253,24,34,57.033248081841435,43.42455242966752,26.127717391304344,53.452685421994886,97.68614768981934,1370,51,77,40,55
209,252,1159,1202,501,143,119,8,0,55,35,5,0,8,23,1,0,24,31,6,43,0,11,3,17,4,1,0,0,162,133,29,20,68.42105263157895,45.02870813397129,24.061602870813374,58.3732057416268,99.31386113166809,285,19,37,14,24
