n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density
108,116,648,656,265,81,69,3,0,30,16,0,0,6,15,2,0,11,23,1,8,0,2,2,14,0,2,0,0,89,78,11,8,75.0,37.333333333333336,10.509259259259267,58.333333333333336
55,67,343,355,144,44,38,4,0,19,5,2,0,0,4,2,0,6,11,4,12,0,2,0,1,1,1,0,0,30,23,7,5,80.0,48.45454545454545,22.068181818181813,54.54545454545454
290,326,1585,1621,666,177,143,11,1,90,30,9,0,6,30,4,0,30,69,3,36,0,8,2,9,6,2,0,5,216,182,32,40,61.03448275862069,45.724137931034484,30.360501567398114,53.79310344827586
140,160,764,784,320,102,85,3,0,44,13,8,0,5,17,3,0,14,28,1,20,0,4,1,11,0,0,0,0,109,101,6,13,72.85714285714285,40.857142857142854,10.761904761904752,54.285714285714285
309,339,1708,1738,705,210,177,9,2,77,37,3,0,18,38,9,0,38,62,11,30,0,7,3,30,0,1,0,2,223,193,30,27,67.96116504854369,42.46278317152104,23.365695792880253,55.016181229773466
244,264,1277,1297,524,151,133,10,0,63,30,10,0,7,31,2,0,21,55,14,19,0,4,5,25,1,1,0,3,158,137,22,17,61.885245901639344,48.959016393442624,42.009836065573786,49.59016393442623
244,264,1277,1297,524,151,133,10,0,63,30,10,0,7,31,2,0,21,55,14,19,0,4,5,25,1,1,0,3,158,137,22,17,61.885245901639344,48.959016393442624,42.009836065573786,49.59016393442623
222,257,1151,1186,495,116,91,12,0,56,18,24,0,2,14,4,0,31,39,9,35,0,11,1,6,5,0,0,2,124,110,15,17,52.25225225225225,53.369369369369366,42.56756756756758,48.1981981981982
73,83,409,419,156,57,52,1,0,17,5,0,0,2,8,2,0,5,19,13,10,0,2,0,3,1,0,0,0,46,41,5,5,78.08219178082192,37.082191780821915,-5.904109589041127,39.726027397260275
88,99,469,480,183,67,59,2,0,20,7,1,0,2,10,2,0,6,22,14,11,0,2,0,3,2,0,0,0,56,51,5,7,76.13636363636364,42.52272727272727,26.82954545454544,39.77272727272727
88,99,469,480,183,67,59,2,0,20,7,1,0,2,10,2,0,6,22,14,11,0,2,0,3,2,0,0,0,56,51,5,7,76.13636363636364,42.52272727272727,26.82954545454544,39.77272727272727
65,73,287,295,125,51,46,1,0,17,8,3,2,0,6,0,0,7,16,0,10,0,2,0,4,2,0,0,1,44,39,5,9,78.46153846153847,49.46153846153846,16.0,49.23076923076923
85,93,511,519,211,72,64,3,0,20,14,0,0,4,7,5,0,5,17,8,8,0,1,2,5,3,2,0,3,51,39,12,3,84.70588235294117,39.470588235294116,16.313725490196088,50.588235294117645
102,108,603,609,260,73,60,4,0,28,13,0,0,6,11,1,0,10,23,2,6,0,6,0,9,1,0,0,1,71,60,12,8,71.56862745098039,41.64705882352941,14.813725490196077,55.88235294117647
193,213,1037,1057,428,120,102,4,0,45,30,9,0,3,17,14,0,19,36,3,20,0,7,1,11,5,0,0,2,135,121,13,13,62.17616580310881,41.487046632124354,13.604922279792731,50.259067357512954
193,213,1037,1057,428,120,102,4,0,45,30,9,0,3,17,14,0,19,36,3,20,0,7,1,11,5,0,0,2,135,121,13,13,62.17616580310881,41.487046632124354,13.604922279792731,50.259067357512954
109,123,673,687,279,82,71,3,0,29,11,1,0,2,11,0,0,10,26,11,14,0,3,2,6,1,0,0,0,72,62,10,10,75.22935779816514,35.51376146788991,3.2905198776758553,47.706422018348626
115,128,610,623,249,86,70,8,0,24,16,0,0,6,24,9,0,9,17,1,13,0,3,1,10,0,1,0,0,97,86,11,12,74.78260869565217,56.82608695652174,50.88586956521738,47.82608695652174
69,76,366,373,156,58,51,3,0,20,5,6,0,2,7,1,0,6,15,2,7,0,4,0,4,0,0,0,1,44,32,9,8,84.05797101449275,49.0,36.04347826086956,47.82608695652174
98,109,513,524,216,64,57,3,0,29,7,7,0,1,13,1,0,4,16,4,11,0,7,0,6,0,0,0,0,56,46,9,11,65.3061224489796,45.83673469387755,30.06802721088436,41.83673469387755
204,234,1004,1034,424,135,121,7,0,61,15,13,0,2,10,1,0,15,40,21,30,0,7,0,12,1,0,0,1,106,90,16,17,66.17647058823529,50.07843137254902,41.75910364145659,45.588235294117645
51,56,335,340,133,39,36,1,0,14,4,1,0,0,2,0,0,3,16,10,5,0,1,0,3,0,0,0,0,27,23,4,6,76.47058823529412,29.19607843137255,-14.509803921568647,41.17647058823529
51,56,335,340,133,39,36,1,0,14,4,1,0,0,2,0,0,3,16,10,5,0,1,0,3,0,0,0,0,27,23,4,6,76.47058823529412,29.19607843137255,-14.509803921568647,41.17647058823529
100,115,600,615,254,72,59,4,0,30,19,2,0,0,11,2,0,9,21,2,15,0,4,0,10,1,1,0,2,77,70,7,5,72.0,41.0,15.900000000000006,57.99999999999999
100,115,600,615,254,72,59,4,0,30,19,2,0,0,11,2,0,9,21,2,15,0,4,0,10,1,1,0,2,77,70,7,5,72.0,41.0,15.900000000000006,57.99999999999999
155,173,927,945,379,118,99,6,0,42,26,7,0,9,15,5,0,9,32,3,18,0,3,2,18,3,0,0,4,105,88,18,11,76.12903225806451,40.806451612903224,21.231182795698896,55.483870967741936
155,173,927,945,379,118,99,6,0,42,26,7,0,9,15,5,0,9,32,3,18,0,3,2,18,3,0,0,4,105,88,18,11,76.12903225806451,40.806451612903224,21.231182795698896,55.483870967741936
59,65,359,365,147,55,50,3,0,16,8,3,0,2,4,1,0,6,13,5,6,0,0,0,4,0,0,0,0,39,36,3,0,93.22033898305084,43.40677966101695,24.384180790960432,54.23728813559322
59,65,360,366,147,55,50,3,0,16,8,3,0,2,4,1,0,6,13,5,6,0,0,0,4,0,0,0,0,39,36,3,0,93.22033898305084,43.23728813559322,24.384180790960432,54.23728813559322
