n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
116,127,703,714,287,83,70,7,0,35,17,0,0,7,20,2,0,11,20,0,11,0,1,3,12,1,1,0,0,99,86,13,8,71.55172413793103,46.5,28.60960591133006,60.3448275862069,96.5139091014862,138,16,15,15,12
63,74,367,378,152,48,45,4,0,21,7,3,0,0,7,0,0,5,11,5,11,0,3,1,5,0,0,0,0,38,31,7,6,76.19047619047619,49.79365079365079,33.42460317460316,52.38095238095239,98.48836660385132,62,19,14,14,8
284,320,1549,1585,643,168,137,10,1,86,32,9,0,5,32,4,0,30,67,2,36,0,8,2,9,8,2,0,3,218,186,30,38,59.154929577464785,45.021126760563384,30.434507042253507,53.87323943661971,99.9024748802185,108,21,33,10,16
146,170,785,809,329,103,88,6,0,44,13,8,0,6,18,6,0,16,28,1,24,0,4,1,11,0,0,0,0,116,106,8,13,70.54794520547945,47.56164383561644,35.19406392694064,54.109589041095894,98.31103682518005,156,18,18,15,13
250,285,1404,1439,583,185,154,13,3,60,36,3,0,17,34,3,0,29,44,12,35,0,6,3,30,0,1,0,1,181,160,21,20,74.0,48.44,35.18923076923076,56.8,98.80527257919312,434,30,61,21,39
234,267,1279,1312,515,144,122,15,1,65,28,10,0,7,31,3,0,17,51,13,33,0,3,5,25,0,1,0,1,150,126,24,15,61.53846153846154,53.572649572649574,47.34444444444443,50.0,99.39277768135071,198,24,32,16,21
234,267,1279,1312,515,144,122,15,1,65,28,10,0,7,31,3,0,17,51,13,33,0,3,5,25,0,1,0,1,150,126,24,15,61.53846153846154,53.572649572649574,47.34444444444443,50.0,99.39277768135071,198,24,32,16,21
183,212,1014,1043,418,105,86,12,0,40,20,16,0,3,13,4,0,28,33,11,29,0,10,0,8,6,0,0,0,111,97,14,14,57.377049180327866,53.26229508196721,42.28005464480876,49.72677595628415,98.91305565834045,273,36,62,19,21
76,87,399,410,153,59,53,3,1,16,8,0,0,2,11,3,0,5,16,12,11,0,2,0,6,0,1,0,0,53,47,6,5,77.63157894736842,48.3421052631579,49.81140350877193,40.78947368421053,97.33327627182007,105,20,18,18,12
81,93,448,460,175,63,59,4,1,17,10,1,0,1,11,2,0,6,16,13,12,0,2,0,7,0,1,0,0,53,46,7,6,77.77777777777779,48.50617283950617,45.3179012345679,41.9753086419753,98.68937134742737,116,19,25,17,19
